Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0603_1608Metric,144.968,-85.8465,90.0,top
C2,100pF,C_0603_1608Metric,148.27,-85.8465,90.0,top
C3,100nF,C_0603_1608Metric,132.715,-83.361,180.0,top
C4,10uF,C_1206_3216Metric,153.289,-75.692,0.0,top
C5,10uF,C_1206_3216Metric,143.891,-77.216,90.0,top
C6,10nF,C_0805_2012Metric,145.796,-73.406,180.0,top
C7,10uF,C_1206_3216Metric,130.175,-78.361,-90.0,top
FB1,600R@100MHz,L_0805_2012Metric,153.797,-78.74,180.0,top
J1,USB_C_Receptacle_PowerOnly_6P,USB_C_Receptacle_HRO_TYPE-C-31-M-17,158.855,-84.533,90.0,top
R1,20k,R_0603_1608Metric,135.89,-90.981,180.0,top
R10,10k,R_0603_1608Metric,127.508,-89.725,-90.0,top
R11,100R,R_0603_1608Metric,135.89,-81.788,180.0,top
R12,1.8k,R_0603_1608Metric,143.317,-85.8465,-90.0,top
R2,10k,R_0603_1608Metric,133.35,-87.884,90.0,top
R3,3.3k,R_0603_1608Metric,148.524,-89.1485,-90.0,top
R4,10k,R_0603_1608Metric,146.619,-85.8465,-90.0,top
R5,5.1k,R_0603_1608Metric,153.924,-85.295,180.0,top
R6,5.1k,R_0603_1608Metric,153.924,-83.771,180.0,top
R7,10k,R_0603_1608Metric,127.508,-74.485,-90.0,top
R8,10k,R_0603_1608Metric,127.508,-79.565,-90.0,top
R9,10k,R_0603_1608Metric,127.508,-84.645,-90.0,top
U1,TLV9062IDR,SOIC-8_3.9x4.9mm_P1.27mm,137.16,-86.36,90.0,top
U2,TLV431AIDBZR,SOT-23-3,145.73,-89.5295,-90.0,top
U3,SPX3819M5-L-3-3,SOT-23-5,148.209,-77.216,180.0,top
